SAPMPLE INPUT (replace everything with yours):
Mari Setagaya | [Queen of Gods] :cQueenGod:
Shrek | [King] :chess_king:
Kenny McCormick | [King] :chess_king:
Harambe, King of the Jungle | [King] :chess_king:
Scott Cawthon | [King] :chess_king:
The Jester of Five Nights at Freddy's | [King] :chess_king:
Rias Gremory | [Queen] :chess_queen:
Meru | [Queen] :chess_queen:
Wendy Blerble Corduroy | [Queen] :chess_queen:
Ashley Rosemarry | [Queen] :chess_queen:
Shiro | [Sister] :chess_pawn~1:
Becca | [Sister] :chess_pawn~1:
Mabel Pines | [Sister] :chess_pawn~1:
Peter Griffin | [ArenaMaster] :chess_bishop:
h | [ArenaMaster] :chess_bishop:
Akeno Himejima | [OldSchool] :chess_knight:
Yotsuba Nakano | [OldSchool] :chess_knight:
Bowsette | [OldSchool] :chess_knight:
Gudetama | [OldSchool] :chess_knight:
Stella Vermillion | [OldSchool] :chess_knight:
Lucy (EL) | [OldSchool] :chess_knight:
Princess Bubblegum | [OldSchool] :chess_knight:
Sagiri Izumi | [OldSchool] :chess_knight:
Satanichia McDowell Kurumizawa | [OldSchool] :chess_knight:
